user_id,item_id,rating,timestamp
38,95,5,892430094
290,88,4,880731963
290,143,5,880474293
254,1444,3,886475558
254,164,4,886472768
38,328,4,892428688
148,408,5,877399018
70,746,3,884150257
38,153,5,892430369
275,98,4,875155140
254,662,4,887347350
275,597,3,876197678
38,758,1,892434626
275,405,2,876197645
254,436,2,886474216
70,431,3,884150257
290,50,5,880473582
254,229,4,886474580
45,25,4,881014015
245,1028,5,888513447
283,1114,5,879297545
70,217,4,884151119
245,181,4,888513664
290,161,4,880474293
254,121,3,886472369
254,378,3,886474396
254,357,3,886472466
275,186,3,880314383
148,1,4,877019411
70,1133,3,884151344
283,432,5,879297965
275,418,3,875154718
275,265,4,880314031
70,399,4,884068521
275,1091,2,875154535
283,845,4,879297442
254,219,1,886475980
38,573,1,892433660
254,230,4,886472400
290,208,3,880475245
70,419,5,884065035
38,161,5,892432062
70,82,4,884068075
290,132,3,880473993
45,109,5,881012356
45,118,4,881014550
290,568,3,880474716
70,210,4,884065854
38,679,5,892432062
275,69,3,880314089
254,379,1,886474650
148,140,1,877019882
254,188,3,886473672
45,763,2,881013563
254,575,3,886476165
45,473,3,881014417
275,449,3,876198328
148,114,5,877016735
275,501,3,875154718
254,1116,3,886473448
148,70,5,877021271
275,520,4,880314218
275,173,3,875154795
290,82,4,880473918
290,393,3,880475169
275,258,3,875154310
254,624,2,886473254
254,418,3,886473078
38,139,2,892432786
70,50,4,884064188
38,432,1,892430282
38,465,5,892432476
70,584,3,884150236
275,176,4,880314320
38,672,3,892434800
148,495,4,877016735
290,222,4,880731778
254,286,1,887346861
275,523,4,880314031
290,476,3,880475837
70,417,3,884066823
38,838,2,892433680
275,1066,3,880313679
290,21,3,880475695
254,380,4,886474456
38,216,5,892430486
38,508,2,892429399
254,50,5,886471151
38,1030,5,892434475
148,172,5,877016513
290,71,5,880473667
275,183,3,880314500
38,403,1,892432205
254,649,1,886474619
45,472,3,881014417
290,274,4,880731874
290,1028,3,880732365
290,429,4,880474606
254,577,1,886476092
245,222,4,888513212
148,1149,5,877016513
38,122,1,892434801
148,177,2,877020715
290,153,3,880475310
290,218,2,880475542
148,185,1,877398385
290,1013,2,880732131
290,239,2,880474451
38,384,5,892433660
38,423,5,892430071
290,380,3,880731766
254,141,3,886472836
254,596,4,886473852
148,501,4,877020297
70,423,5,884066910
38,318,3,892430071
148,529,5,877398901
38,444,1,892433912
70,202,4,884066713
275,588,3,875154535
283,83,4,879298239
275,252,2,876197944
38,392,5,892430120
283,186,5,879298239
340,172,4,884990620
70,71,3,884066399
254,384,1,886475790
148,98,3,877017714
70,151,3,884148603
275,191,4,880314797
275,969,2,880314412
254,240,1,886476165
70,265,4,884067503
70,152,4,884149877
254,257,3,886471389
38,616,3,892433375
38,780,4,892434217
148,214,5,877019882
45,127,5,881007272
275,202,3,875155167
290,418,3,880474293
254,99,3,886473254
254,625,3,886473808
290,202,4,880474590
70,260,2,884065247
283,70,4,879298206
254,501,3,886476281
340,435,4,884990546
148,596,5,877020297
290,546,2,880475564
290,404,3,880475341
290,818,3,880732656
245,94,2,888513081
148,71,5,877019251
38,99,5,892430829
45,121,4,881013563
340,1,5,884990988
275,630,3,880315243
254,472,3,886474456
275,304,3,876197368
254,183,4,886472713
283,588,4,879297965
38,720,5,892432424
254,243,2,887347834
70,751,4,884063601
38,67,4,892434312
340,405,5,884991817
340,204,4,884990004
254,238,3,886473120
290,550,3,880475807
38,389,5,892433660
283,627,4,879297966
148,1012,4,877400154
38,450,1,892432624
275,89,3,875154878
290,158,5,880474977
70,176,4,884066573
290,216,4,880475218
290,423,5,880474422
245,112,4,888513575
290,98,4,880474235
38,393,5,892430282
45,1061,2,881016056
254,125,3,886473158
148,228,4,877016514
148,473,5,877399322
290,1336,3,880733010
340,1133,5,884991742
70,546,2,884066211
275,142,2,880315197
