user_id,item_id,rating,timestamp
196,242,3,881250949
244,51,2,880606923
242,1137,5,879741196
243,15,3,879987440
90,382,5,891383835
90,648,4,891384754
128,485,3,879966895
264,200,5,886122352
244,815,4,880605185
244,756,2,880605157
90,98,5,891383204
19,4,4,885412840
18,443,3,880130193
90,347,4,891383319
264,813,4,886122952
123,427,3,879873020
244,673,3,880606667
187,64,5,879465631
184,218,3,889909840
128,204,4,879967478
184,153,3,889911285
184,321,5,889906967
128,508,4,879967767
90,1086,4,891384424
18,26,4,880129731
244,186,3,880605697
128,15,4,879968827
65,47,2,879216672
187,210,4,879465242
264,294,3,886121516
187,135,4,879465653
184,187,4,889909024
128,371,1,879966954
264,721,5,886123656
90,900,4,891382309
128,603,5,879966839
244,265,4,880606634
90,289,3,891382310
90,259,2,891382392
152,301,3,880147407
243,1039,4,879988184
244,17,2,880607205
306,235,4,876504354
244,381,4,880604077
264,655,4,886123530
18,86,4,880129731
90,1198,5,891383866
244,707,4,880606243
90,25,5,891384789
208,216,5,883108324
90,506,5,891383319
90,258,3,891382121
306,287,4,876504442
90,22,4,891384357
244,550,1,880602264
65,806,4,879216529
244,183,4,880606043
90,923,5,891383912
244,310,3,880601905
18,408,5,880129628
89,216,5,879459859
128,317,4,879968029
184,412,2,889912691
24,64,5,875322758
196,393,4,881251863
184,522,3,889908462
208,663,5,883108476
65,125,4,879217509
90,12,5,891383241
152,685,5,880149074
244,172,4,880605665
244,790,4,880608037
24,191,5,875323003
106,526,4,881452685
90,945,5,891383866
184,98,4,889908539
18,950,3,880130764
196,381,4,881251728
128,182,4,879967225
184,602,4,889909691
244,53,3,880607489
19,435,5,885412840
244,154,5,880606385
18,202,3,880130515
264,448,2,886122031
264,70,4,886123596
208,197,5,883108797
24,763,5,875322875
18,729,3,880131236
152,111,5,880148782
244,662,3,880606533
18,182,4,880130640
128,739,4,879969349
184,277,3,889907971
65,1142,4,879217349
184,191,4,889908716
184,514,5,889908497
90,690,4,891383319
106,582,4,881451199
243,208,4,879989134
65,100,3,879217558
184,86,5,889908694
184,660,3,889909962
18,113,5,880129628
90,499,5,891383866
184,207,4,889908903
90,187,4,891383561
90,507,5,891383987
90,245,3,891382612
184,161,2,889909640
306,14,5,876503995
65,196,5,879216637
24,367,2,875323241
184,36,3,889910195
128,482,4,879967432
90,821,3,891385843
264,504,5,886122577
19,655,3,885412723
244,148,2,880605071
90,553,2,891384959
196,251,3,881251274
18,496,5,880130470
196,655,5,881251793
106,778,4,881453040
264,33,3,886122644
90,657,5,891385190
152,412,2,880149328
128,228,3,879969329
266,676,3,892257897
123,531,3,879872671
18,387,4,880130155
184,181,4,889907426
244,409,4,880605294
90,906,2,891382240
106,107,4,883876961
184,155,3,889912656
187,215,3,879465805
306,242,5,876503793
98,47,4,880498898
90,662,5,891385842
184,71,4,889911552
244,89,5,880602210
244,380,4,880608133
306,864,3,876504286
208,202,4,883108476
244,167,3,880607853
90,425,4,891384996
18,863,3,880130680
18,965,4,880132012
244,652,5,880606533
184,100,5,889907652
18,494,3,880131497
196,67,5,881252017
90,1194,4,891383718
244,155,3,880608599
187,523,3,879465125
123,135,5,879872868
90,529,5,891385132
244,7,4,880602558
18,154,4,880131358
208,88,5,883108324
89,197,5,879459859
123,192,5,879873119
106,692,3,881453290
128,736,5,879968352
128,418,4,879968164
18,58,4,880130613
90,631,5,891384570
244,216,4,880605869
187,116,5,879464978
89,1048,3,879460027
106,660,4,881451631
90,526,5,891383866
123,13,3,879873988
90,603,5,891385132
128,140,4,879968308
184,729,3,889909840
98,163,3,880499053
128,79,4,879967692
123,847,4,879873193
65,202,4,879217852
128,143,5,879967300
65,56,3,879217816
90,958,4,891383561
106,703,4,881450039
90,31,4,891384673
18,647,4,880129595
152,147,3,880149045
90,618,5,891385335
244,31,4,880603484
106,828,2,883876872
244,220,2,880605264
18,199,3,880129769
264,475,5,886122706
244,238,5,880606118
106,435,3,881452355
89,732,5,879459909
24,153,4,875323368
18,607,3,880131752
208,204,3,883108360
65,676,5,879217689
244,676,4,880604858
184,1137,5,889907812
152,272,5,890322298
24,427,5,875323002
264,401,5,886123656
65,97,5,879216605
152,25,3,880149045
90,237,4,891385215
128,283,5,879966729
244,100,4,880604252
208,514,4,883108324
90,354,3,891382240
184,559,3,889910418
90,489,5,891384357
98,517,5,880498990
333,894,3,891045496
106,213,4,881453065
152,716,5,884019001
243,660,4,879988422
264,1069,5,886123728
98,655,3,880498861
123,275,4,879873726
18,196,3,880131297
90,11,4,891384113
243,225,3,879987655
152,132,5,882475496
244,97,2,880605514
90,301,4,891382392
18,954,3,880130640
152,97,5,882475618
184,498,5,889913687
184,716,3,889909987
184,47,4,889909640
