user_id,item_id,rating,timestamp
62,257,2,879372434
200,222,5,876042340
291,1042,4,874834944
291,118,2,874833878
95,546,2,879196566
102,768,2,883748450
301,98,4,882075827
97,194,3,884238860
276,796,1,874791932
276,564,3,874791805
246,201,5,884921594
251,100,4,886271884
25,181,5,885853415
87,384,4,879877127
20,288,1,879667584
246,919,4,884920949
57,304,5,883698581
92,1049,1,890251826
246,416,3,884923047
276,54,3,874791025
291,144,5,874835091
222,366,4,878183381
95,625,4,888954412
87,1016,4,879876194
62,498,4,879373848
62,382,3,879375537
198,498,3,884207492
168,151,5,884288058
62,21,3,879373460
44,195,5,878347874
222,750,5,883815120
87,274,4,879876734
95,787,2,888954930
57,419,3,883698454
268,231,4,875744136
5,2,3,875636053
44,294,4,883612356
268,1035,2,875542174
222,755,4,878183481
200,673,5,884128554
276,322,3,874786392
130,379,4,875801662
130,216,4,875216545
92,1079,3,886443455
1,61,4,878542420
56,755,3,892910207
92,77,3,875654637
251,748,2,886272175
97,228,5,884238860
301,790,4,882078621
276,1091,3,874793035
87,554,4,879875940
200,318,5,884128458
62,65,4,879374686
92,172,4,875653271
301,401,4,882078040
268,930,2,875742942
268,2,2,875744173
268,145,1,875744501
301,56,4,882076587
307,89,5,879283786
130,1014,3,876250718
222,118,4,877563802
301,79,5,882076403
1,189,3,888732928
23,385,4,874786462
301,554,3,882078830
95,135,3,879197562
222,77,4,878183616
200,304,5,876041644
101,829,3,877136138
1,33,4,878542699
1,160,4,875072547
23,323,2,874784266
301,227,3,882077222
301,191,3,882075672
222,724,3,878181976
215,212,2,891435680
276,2,4,874792436
92,229,3,875656201
200,96,5,884129409
142,169,5,888640356
222,151,3,878182109
87,40,3,879876917
130,1017,3,874953895
203,321,3,880433418
268,62,3,875310824
102,823,3,888801465
263,176,5,891299752
109,631,3,880579371
301,604,4,882075994
64,392,3,889737542
92,501,2,875653665
222,97,4,878181739
268,436,3,875310745
5,17,4,875636198
23,196,2,874786926
291,80,4,875086354
203,471,4,880434463
92,587,3,875660408
117,1047,2,881009697
215,211,4,891436202
1,20,4,887431883
222,278,2,877563913
263,419,5,891299514
25,357,4,885852757
200,365,5,884129962
62,712,4,879376178
246,94,2,884923505
92,168,4,875653723
307,174,4,879283480
